Predicted Image,Ground Truth,Dice Coefficient
mcf-z-stacks-03212011_a12_s1_pred.png,mcf-z-stacks-03212011_a12_s1_mask_pred.png,0.788808664
mcf-z-stacks-03212011_a13_s2_pred.png,mcf-z-stacks-03212011_a13_s2_mask_pred.png,0.78247488
mcf-z-stacks-03212011_a19_s1_pred.png,mcf-z-stacks-03212011_a19_s1_mask_pred.png,0.810897436
mcf-z-stacks-03212011_a21_s2_pred.png,mcf-z-stacks-03212011_a21_s2_mask_pred.png,0.904227346
mcf-z-stacks-03212011_a22_s1_pred.png,mcf-z-stacks-03212011_a22_s1_mask_pred.png,0.790610329
mcf-z-stacks-03212011_a22_s2_pred.png,mcf-z-stacks-03212011_a22_s2_mask_pred.png,0.877580781
mcf-z-stacks-03212011_a23_s1_pred.png,mcf-z-stacks-03212011_a23_s1_mask_pred.png,0.858078603
mcf-z-stacks-03212011_a23_s2_pred.png,mcf-z-stacks-03212011_a23_s2_mask_pred.png,0.77635235
mcf-z-stacks-03212011_a24_s1_pred.png,mcf-z-stacks-03212011_a24_s1_mask_pred.png,0.915533286
mcf-z-stacks-03212011_b02_s2_pred.png,mcf-z-stacks-03212011_b02_s2_mask_pred.png,0.845353675
mcf-z-stacks-03212011_b03_s2_pred.png,mcf-z-stacks-03212011_b03_s2_mask_pred.png,0.657198677
mcf-z-stacks-03212011_b04_s1_pred.png,mcf-z-stacks-03212011_b04_s1_mask_pred.png,0.611361275
mcf-z-stacks-03212011_b06_s1_pred.png,mcf-z-stacks-03212011_b06_s1_mask_pred.png,0.759472355
mcf-z-stacks-03212011_b07_s2_pred.png,mcf-z-stacks-03212011_b07_s2_mask_pred.png,0.896632367
mcf-z-stacks-03212011_b09_s1_pred.png,mcf-z-stacks-03212011_b09_s1_mask_pred.png,0.865053569
mcf-z-stacks-03212011_b10_s2_pred.png,mcf-z-stacks-03212011_b10_s2_mask_pred.png,0.878901641
mcf-z-stacks-03212011_b11_s1_pred.png,mcf-z-stacks-03212011_b11_s1_mask_pred.png,0.900377736
mcf-z-stacks-03212011_b12_s1_pred.png,mcf-z-stacks-03212011_b12_s1_mask_pred.png,0.874924973
mcf-z-stacks-03212011_b13_s2_pred.png,mcf-z-stacks-03212011_b13_s2_mask_pred.png,0.898273139
mcf-z-stacks-03212011_b14_s1_pred.png,mcf-z-stacks-03212011_b14_s1_mask_pred.png,0.857782117
mcf-z-stacks-03212011_b14_s2_pred.png,mcf-z-stacks-03212011_b14_s2_mask_pred.png,0.877948998
mcf-z-stacks-03212011_b15_s1_pred.png,mcf-z-stacks-03212011_b15_s1_mask_pred.png,0.798052451
mcf-z-stacks-03212011_b15_s2_pred.png,mcf-z-stacks-03212011_b15_s2_mask_pred.png,0.889584184
mcf-z-stacks-03212011_b17_s1_pred.png,mcf-z-stacks-03212011_b17_s1_mask_pred.png,0.860716238
mcf-z-stacks-03212011_b17_s2_pred.png,mcf-z-stacks-03212011_b17_s2_mask_pred.png,0.764559413
mcf-z-stacks-03212011_b19_s1_pred.png,mcf-z-stacks-03212011_b19_s1_mask_pred.png,0.905442384
mcf-z-stacks-03212011_b21_s2_pred.png,mcf-z-stacks-03212011_b21_s2_mask_pred.png,0.814554166
mcf-z-stacks-03212011_b22_s1_pred.png,mcf-z-stacks-03212011_b22_s1_mask_pred.png,0.820937631
mcf-z-stacks-03212011_b23_s2_pred.png,mcf-z-stacks-03212011_b23_s2_mask_pred.png,0.8147687
mcf-z-stacks-03212011_c13_s1_pred.png,mcf-z-stacks-03212011_c13_s1_mask_pred.png,0.885960985
